March,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
M. Roberts III,35.5,35.5,0.0,"$2,662.50",$0.00,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
Neighborhood Liaisons,42.0,42.0,0.0,$840.00,$100.00,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
Watts,8.3,3.8,4.5,$893.00,$38.44,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
Dupont,53.9,30.6,23.3,"$7,191.00","$1,026.78",data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
Bowman,37.1,37.1,0.0,"$8,718.50",$0.00,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
Maxey,10.4,6.9,3.5,"$1,621.50",$0.00,data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
Total,614.1,536.3,77.8,"$145,349.50","$1,514.22",data/pdfs/page-4/2021/December+2021+Invoice+Package(54167301.1).pdf
May,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Thompson,31.0,21.6,9.4,"$10,260.00",$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Rosenthal,93.3,71.3,22.0,"$33,867.50",$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Aden,43.3,41.3,2.0,"$9,705.50",$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Barge,28.9,19.9,9.0,"$4,676.50",$858.15,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
CJI: Wasileski,28.0,28.0,0.0,"$5,600.00",$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
CJI: Zafft,29.1,29.1,0.0,"$3,928.50",$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
CJI: Lawrence,6.5,6.5,0.0,$877.50,$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Drake,5.9,5.9,0.0,"$1,386.50",$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Drake (Exec. Ass't),9.0,9.0,0.0,$337.50,$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Goodrich,4.0,4.0,0.0,$940.00,$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Joyce,18.6,18.6,0.0,"$4,371.00",$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Meares,4.0,4.0,0.0,$940.00,$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
O'Toole,4.1,4.1,0.0,$963.50,$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Ramsey,14.3,13.3,1.0,"$3,125.50",$63.15,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Smoot,8.5,8.5,0.0,"$1,997.50",$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Villasenor,32.6,29.5,3.1,"$6,932.50",$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Wharton,60.0,60.0,0.0,"$4,500.00",$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Neighborhood Liaisons,135.0,135.0,0.0,"$2,700.00",$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Kelly,7.8,5.1,2.7,"$1,198.50",$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Dupont,45.5,25.9,19.6,"$6,086.50",$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Bowman,26.9,26.9,0.0,"$6,321.50",$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Maxey,19.8,16.8,3.0,"$3,948.00",$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Morgan State University,0.0,0.0,0.0,"$5,000.00",$0.00,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
Total,656.1,584.3,71.8,"$119,664.00",$921.30,data/pdfs/page-4/2021/May+2021+Invoice(52757398.1).pdf
July,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
Thompson,49.7,38.9,10.8,"$18,477.50",$0.00,data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
Rosenthal,64.7,48.6,16.1,"$23,085.00",$0.00,data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
Aden,34.0,29.5,4.5,"$6,932.50",$0.00,data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
Barge,0.0,0.0,0.0,$0.00,$275.11,data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
CJI: Wasileski,15.0,15.0,0.0,"$3,525.00",$0.00,data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
CJI: Zafft,3.0,3.0,0.0,$510.00,$0.00,data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
Drake,7.5,7.5,0.0,"$1,762.50",$0.00,data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
Joyce,33.2,23.2,10.0,"$5,452.00",$664.85,data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
McDonough,3.8,3.8,0.0,$893.00,$0.00,data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
Meares,7.0,7.0,0.0,"$1,645.00",$572.22,data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
O'Toole,7.5,7.5,0.0,"$1,762.50",$0.00,data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
Ramsey,26.0,26.0,0.0,"$6,110.00",$0.00,data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
Smoot,37.1,33.1,4.0,"$7,778.50",$0.00,data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
Villasenor,74.9,54.6,20.3,"$12,831.00","$1,528.91",data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
M. Roberts III,36.0,36.0,0.0,"$2,700.00",$0.00,data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
"Neighborhood Liaisons
(+ June)",120.0,120.0,0.0,"$2,400.00",$150.00,data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
Watts,18.2,18.2,0.0,"$4,277.00",$0.00,data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
Dupont,26.7,7.6,19.1,"$1,786.00",$0.00,data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
Bowman,22.3,22.3,0.0,"$5,240.50",$0.00,data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
Maxey,14.3,10.0,4.3,"$2,350.00",$0.00,data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
Total,600.9,511.8,89.1,"$109,518.00","$3,191.09",data/pdfs/page-4/2021/July+2021+Compressed+Invoice+Package+BPD(53165154.1)-compressed.pdf
November,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
Thompson,38.0,30.5,7.5,"$14,487.50",$0.00,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
Rosenthal,57.8,44.0,13.8,"$20,900.00",$673.55,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
Aden,48.2,44.7,3.5,"$10,504.50",$223.78,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
Barge,22.7,20.5,2.2,"$4,817.50",$281.11,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
CJI: Wasileski,5.0,5.0,0.0,"$1,175.00",$0.00,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
CJI: Zafft,13.0,13.0,0.0,"$2,210.00",$0.00,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
Drake (Exec. Ass't),3.5,3.5,0.0,$131.25,$0.00,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
Drake,7.0,7.0,0.0,"$1,645.00",$0.00,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
Joyce,20.9,20.9,0.0,"$4,911.50",$0.00,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
McDonough,67.7,55.8,11.9,"$13,113.00",$0.00,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
O'Toole,13.0,13.0,0.0,"$3,055.00",$0.00,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
Ramsey,44.0,43.0,1.0,"$10,105.00",$492.47,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
Smoot,3.3,3.3,0.0,$775.50,$0.00,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
Villasenor,57.5,54.1,3.4,"$12,713.50",$0.00,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
M. Roberts III,35.0,35.0,0.0,"$2,625.00",$0.00,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
Neighborhood Liaisons,48.3,48.3,0.0,$966.00,$100.00,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
Watts,11.8,9.5,2.3,"$2,232.50",$0.00,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
Dupont,26.8,23.4,3.4,"$5,499.00",$0.00,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
Bowman,19.8,19.8,0.0,"$4,653.00",$0.00,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
Maxey,16.7,15.0,1.7,"$3,525.00",$0.00,data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
Total,560.0,509.3,50.7,"$120,044.75","$1,770.91",data/pdfs/page-4/2021/November+2021+Invoice+Package(54063565.1).pdf
February,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
Thompson,40.1,27.6,12.5,"$13,110.00",$0.00,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
Rosenthal,26.0,15.8,10.2,"$7,505.00",$0.00,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
Aden,36.8,32.8,4.0,"$7,708.00",$0.00,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
Barge,6.0,5.4,0.6,"$1,269.00",$279.49,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
Bethel,1.0,1.0,0.0,$235.00,$0.00,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
CJI: Wasileski,5.0,5.0,0.0,"$1,000.00",$0.00,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
CJI: Zafft,16.0,16.0,0.0,"$2,160.00",$0.00,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
Drake,3.3,3.3,0.0,$775.50,$0.00,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
Drake (Exec. Ass't),4.0,4.0,0.0,$150.00,$0.00,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
Goodrich,5.5,5.5,0.0,"$1,292.50",$0.00,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
Joyce,5.1,5.1,0.0,"$1,198.50",$0.00,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
Ramsey,2.5,1.0,1.5,$235.00,$0.00,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
Smoot,6.2,6.2,0.0,"$1,457.00",$0.00,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
Villasenor,18.9,15.1,3.8,"$3,548.50",$0.00,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
Wharton,60.0,60.0,0.0,"$4,500.00",$0.00,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
Neighborhood Liaisons,135.0,135.0,0.0,"$2,700.00",$0.00,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
Kelly,11.5,8.9,2.6,"$2,091.50",$0.00,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
Dupont,31.1,22.4,8.7,"$5,264.00",$0.00,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
Bowman,16.9,16.9,0.0,"$3,971.50",$0.00,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
Maxey,16.2,12.8,3.4,"$3,008.00",$0.00,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
Total,447.1,399.8,47.3,"$63,179.00",$279.49,data/pdfs/page-4/2021/February+2021+Invoice+Package(51741932.1).pdf
March,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
Thompson,32.7,24.3,8.4,"$11,542.50",$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
Rosenthal,48.3,38.5,9.8,"$18,287.50",$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
Aden,43.8,40.3,3.5,"$9,470.50",$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
Barge,12.0,11.4,0.6,"$2,679.00",$287.11,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
CJI: Wasileski,25.0,25.0,0.0,"$5,000.00",$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
CJI: Zafft,8.0,8.0,0.0,"$1,080.00",$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
CJI: Lawrence,3.5,3.5,0.0,$472.50,$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
Drake,16.6,15.1,1.5,"$3,548.50",$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
Drake (Exec. Ass't),1.5,1.5,0.0,$56.25,$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
Goodrich,3.0,3.0,0.0,$705.00,$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
Joyce,18.2,18.2,0.0,"$4,277.00",$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
Meares,6.0,6.0,0.0,"$1,410.00",$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
Ramsey,18.5,17.0,1.5,"$3,995.00",$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
Smoot,6.5,6.5,0.0,"$1,527.50",$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
Villasenor,34.5,32.5,2.0,"$7,637.50",$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
Wharton,60.0,60.0,0.0,"$4,500.00",$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
Neighborhood Liaisons,135.0,135.0,0.0,"$2,700.00",$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
Kelly,12.5,10.7,1.8,"$2,514.50",$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
Dupont,55.0,29.0,26.0,"$6,815.00",$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
Bowman,23.0,23.0,0.0,"$5,405.00",$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
Maxey,15.2,11.4,3.8,"$2,679.00",$0.00,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
Total,578.80,519.90,58.9,"$96,302.25",$287.11,data/pdfs/page-4/2021/March+2021+Invoice+Package(52123839.1)+(1).pdf
August,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
Thompson,65.9,51.0,14.9,"$24,225.00",$0.00,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
Rosenthal,90.4,66.2,24.2,"$31,445.00",$0.00,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
Aden,36.4,30.6,5.8,"$7,191.00",$0.00,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
Barge,17.6,16.1,1.5,"$3,783.50",$275.11,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
CJI: Wasileski,5.0,5.0,0.0,"$1,175.00",$0.00,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
CJI: Zafft,28.8,28.8,0.0,"$4,896.00",$0.00,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
Drake (Exec. Ass't),4.0,4.0,0.0,$150.00,$0.00,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
Drake,11.9,10.9,1.0,"$2,561.50",$359.80,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
Goodrich,1.0,1.0,0.0,$235.00,$0.00,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
Joyce,25.6,25.6,0.0,"$6,016.00",$0.00,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
McDonough,28.3,28.3,0.0,"$6,650.50",$0.00,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
Meares,10.5,10.5,0.0,"$2,467.50",$0.00,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
Ramsey,30.5,29.0,1.5,"$6,815.00",$0.00,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
Smoot,15.2,12.7,2.5,"$2,984.50",$0.00,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
Villasenor,41.7,39.2,2.5,"$9,212.00",$0.00,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
M. Roberts III,41.5,40.0,1.5,"$3,000.00",$0.00,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
Neighborhood Liaisons,91.0,90.0,1.0,"$1,800.00",$150.00,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
Watts,34.0,22.0,12.0,"$5,170.00",$0.00,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
Dupont,24.4,2.5,21.9,$587.50,$0.00,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
Bowman,16.6,13.6,3.0,"$3,196.00",$0.00,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
Maxey,17.9,15.5,2.4,"$3,642.50",$0.00,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
Total,638.20,542.50,95.7,"$127,203.50",$784.91,data/pdfs/page-4/2021/August+2021+Invoice+Package(53417259.1).pdf
April,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
Thompson,39.1,31.3,7.8,"$14,867.50",$0.00,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
Rosenthal,94.9,67.5,27.4,"$32,062.50",$0.00,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
Aden,56.8,52.8,4.0,"$12,408.00",$0.00,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
Barge,11.7,10.9,0.8,"$2,561.50",$287.11,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
CJI: Wasileski,35.0,35.0,0.0,"$7,000.00",$0.00,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
CJI: Zafft,42.5,42.5,0.0,"$5,737.50",$0.00,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
CJI: Lawrence,12.5,12.5,0.0,"$1,687.50",$0.00,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
Drake,28.2,24.2,4.0,"$5,687.00",$0.00,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
Drake (Exec. Ass't),4.0,4.0,0.0,$150.00,$0.00,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
Goodrich,11.4,11.4,0.0,"$2,679.00",$0.00,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
Joyce,39.5,34.5,5.0,"$8,107.50",$204.81,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
Meares,3.8,3.8,0.0,$893.00,$0.00,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
Ramsey,16.5,16.0,0.5,"$3,760.00",$0.00,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
Smoot,24.7,22.7,2.0,"$5,334.50",$0.00,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
Villasenor,44.0,41.0,3.0,"$9,635.00",$0.00,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
Wharton,60.0,60.0,0.0,"$4,500.00",$0.00,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
Neighborhood Liaisons,135.0,135.0,0.0,"$2,700.00",$0.00,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
Kelly,21.4,14.0,7.4,"$3,290.00",$0.00,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
Dupont,76.5,35.3,41.2,"$8,295.50",$0.00,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
Bowman,28.1,28.1,0.0,"$6,603.50",$0.00,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
Maxey,27.0,20.1,6.9,"$4,723.50",$0.00,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
Total,812.60,702.60,110.0,"$142,683.00",$491.92,data/pdfs/page-4/2021/April+2021+Invoice+Package(52440071.1).pdf
October,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
Thompson,54.6,39.8,14.8,"$18,905.00",$0.00,data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
Rosenthal,64.0,41.7,22.3,"$19,807.50",$0.00,data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
Aden,72.6,62.6,10.0,"$14,711.00",$618.80,data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
Barge,28.8,26.0,2.8,"$6,110.00",$281.11,data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
CJI: Wasileski,10.0,10.0,0.0,"$2,350.00",$0.00,data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
CJI: Zafft,15.5,15.5,0.0,"$2,635.00",$365.62,data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
Drake (Exec. Ass't),12.0,12.0,0.0,$450.00,$0.00,data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
Drake,19.4,17.4,2.0,"$4,089.00",$0.00,data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
Goodrich,6.0,6.0,0.0,"$1,410.00",$0.00,data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
Joyce,65.0,51.5,13.5,"$12,102.50",$888.83,data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
McDonough,66.7,56.2,10.5,"$13,207.00",$458.15,data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
Meares,14.3,6.3,8.0,"$1,480.50",$397.19,data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
O'Toole,6.5,6.5,0.0,"$1,527.50",$0.00,data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
Ramsey,29.5,29.5,0.0,"$6,932.50",$157.39,data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
Smoot,27.5,27.5,0.0,"$6,462.50","$2,667.95",data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
Villasenor,64.3,42.8,21.5,"$10,058.00","$1,407.86",data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
M. Roberts III,58.5,58.5,0.0,"$4,387.50",$0.00,data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
Neighborhood Liaisons,65.0,65.0,0.0,"$1,300.00",$125.00,data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
Watts,38.0,25.5,12.5,"$5,992.50",$0.00,data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
Dupont,50.7,27.7,23.0,"$6,509.50",$848.44,data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
Bowman,28.9,28.9,0.0,"$6,791.50",$0.00,data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
Maxey,26.4,22.1,4.3,"$5,193.50","$1,337.75",data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
Total,824.20,679.00,145.2,"$152,412.50","$9,554.09",data/pdfs/page-4/2021/October+2021+Invoice+Package(53810092.1)-compressed.pdf
June,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2021/June2021.pdf
Thompson,61.0,46.7,14.3,"$22,182.50",$0.00,data/pdfs/page-4/2021/June2021.pdf
Rosenthal,65.4,48.7,16.7,"$23,132.50",$0.00,data/pdfs/page-4/2021/June2021.pdf
Aden,60.6,51.3,9.3,"$12,055.50",$0.00,data/pdfs/page-4/2021/June2021.pdf
Barge,9.5,8.6,0.9,"$2,021.00",$276.08,data/pdfs/page-4/2021/June2021.pdf
CJI: Wasileski,10.0,10.0,0.0,"$2,000.00",$0.00,data/pdfs/page-4/2021/June2021.pdf
